location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action,lancet_label,numInCount
361,1,101,100,"1,64,100,101",3,1,1,9.0,Canada,Canada,Canada,2,admin0,CAN,64.0,High-income,100.0,High-income North America,CAN,CAN,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Canada,1
361,1,349,100,"1,64,100,349",3,1,1,10.0,Greenland,Greenland,Greenland,8,nonsovereign,,64.0,High-income,100.0,High-income North America,GRL,GRL,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Greenland,0
361,1,102,100,"1,64,100,102",3,0,0,11.0,United States,United States,USA,2,admin0,USA,64.0,High-income,100.0,High-income North America,USA,USA,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,United States,8
361,1,71,70,"1,64,70,71",3,1,1,13.0,Australia,Australia,Australia,2,admin0,AUS,64.0,High-income,70.0,Australasia,AUS,AUS,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Australia,0
361,1,72,70,"1,64,70,72",3,1,1,14.0,New Zealand,New Zealand,New Zealand,2,admin0,NZL,64.0,High-income,70.0,Australasia,NZL,NZL,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,New Zealand,0
361,1,66,65,"1,64,65,66",3,1,1,16.0,Brunei,Brunei,Brunei,2,admin0,BRN,64.0,High-income,65.0,High-income Asia Pacific,BRN,BRN,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Brunei,0
361,1,67,65,"1,64,65,67",3,0,0,17.0,Japan,Japan,Japan,2,admin0,JPN,64.0,High-income,65.0,High-income Asia Pacific,JPN,JPN,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Japan,2
361,1,69,65,"1,64,65,69",3,1,1,18.0,Singapore,Singapore,Singapore,2,admin0,SGP,64.0,High-income,65.0,High-income Asia Pacific,SGP,SGP,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Singapore,0
361,1,68,65,"1,64,65,68",3,1,1,19.0,South Korea,South Korea,S Korea,2,admin0,KOR,64.0,High-income,65.0,High-income Asia Pacific,KOR,KOR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,South Korea,0
361,1,74,73,"1,64,73,74",3,1,1,21.0,Andorra,Andorra,Andorra,2,admin0,AND,64.0,High-income,73.0,Western Europe,AND,AND,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Andorra,0
361,1,75,73,"1,64,73,75",3,1,1,22.0,Austria,Austria,Austria,2,admin0,AUT,64.0,High-income,73.0,Western Europe,AUT,AUT,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Austria,0
361,1,76,73,"1,64,73,76",3,1,1,23.0,Belgium,Belgium,Belgium,2,admin0,BEL,64.0,High-income,73.0,Western Europe,BEL,BEL,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Belgium,0
361,1,77,73,"1,64,73,77",3,1,1,24.0,Cyprus,Cyprus,Cyprus,2,admin0,CYP,64.0,High-income,73.0,Western Europe,CYP,CYP,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Cyprus,0
361,1,78,73,"1,64,73,78",3,1,1,25.0,Denmark,Denmark,Denmark,2,admin0,DNK,64.0,High-income,73.0,Western Europe,DNK,DNK,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Denmark,2
361,1,79,73,"1,64,73,79",3,1,1,26.0,Finland,Finland,Finland,2,admin0,FIN,64.0,High-income,73.0,Western Europe,FIN,FIN,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Finland,0
361,1,80,73,"1,64,73,80",3,1,1,27.0,France,France,France,2,admin0,FRA,64.0,High-income,73.0,Western Europe,FRA,FRA,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,France,0
361,1,81,73,"1,64,73,81",3,1,1,28.0,Germany,Germany,Germany,2,admin0,DEU,64.0,High-income,73.0,Western Europe,DEU,DEU,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Germany,0
361,1,82,73,"1,64,73,82",3,1,1,29.0,Greece,Greece,Greece,2,admin0,GRC,64.0,High-income,73.0,Western Europe,GRC,GRC,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Greece,0
361,1,83,73,"1,64,73,83",3,1,1,30.0,Iceland,Iceland,Iceland,2,admin0,ISL,64.0,High-income,73.0,Western Europe,ISL,ISL,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Iceland,0
361,1,84,73,"1,64,73,84",3,1,1,31.0,Ireland,Ireland,Ireland,2,admin0,IRL,64.0,High-income,73.0,Western Europe,IRL,IRL,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Ireland,0
361,1,85,73,"1,64,73,85",3,1,1,32.0,Israel,Israel,Israel,2,admin0,ISR,64.0,High-income,73.0,Western Europe,ISR,ISR,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Israel,0
361,1,86,73,"1,64,73,86",3,1,1,33.0,Italy,Italy,Italy,2,admin0,ITA,64.0,High-income,73.0,Western Europe,ITA,ITA,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Italy,0
361,1,87,73,"1,64,73,87",3,1,1,34.0,Luxembourg,Luxembourg,Luxembourg,2,admin0,LUX,64.0,High-income,73.0,Western Europe,LUX,LUX,1,2018-06-15 00:00:00,,2018-06-08 09:49:56,2018-06-08 09:49:56,ferdid06,INSERT,Luxembourg,0
