location_id,location_name,location_ascii_name,ihme_loc_id,local_id
1,Global,Global,G,G
44635,High SDI,High SDI,,
44634,High-middle SDI,High-middle SDI,,
44639,Middle SDI,Middle SDI,,
44636,Low-middle SDI,Low-middle SDI,,
44637,Low SDI,Low SDI,,
64,High-income,High-income,S1,S1
100,High-income North America,High-income North America,R16,R16
101,Canada,Canada,CAN,CAN
349,Greenland,Greenland,GRL,GRL
102,United States,United States,USA,USA
523,Alabama,Alabama,USA_523,US-AL
524,Alaska,Alaska,USA_524,US-AK
525,Arizona,Arizona,USA_525,US-AZ
526,Arkansas,Arkansas,USA_526,US-AR
527,California,California,USA_527,US-CA
528,Colorado,Colorado,USA_528,US-CO
529,Connecticut,Connecticut,USA_529,US-CT
530,Delaware,Delaware,USA_530,US-DE
531,District of Columbia,District of Columbia,USA_531,US-DC
532,Florida,Florida,USA_532,US-FL
533,Georgia,Georgia,USA_533,US-GA
534,Hawaii,Hawaii,USA_534,US-HI
535,Idaho,Idaho,USA_535,US-ID
536,Illinois,Illinois,USA_536,US-IL
537,Indiana,Indiana,USA_537,US-IN
538,Iowa,Iowa,USA_538,US-IA
539,Kansas,Kansas,USA_539,US-KS
540,Kentucky,Kentucky,USA_540,US-KY
541,Louisiana,Louisiana,USA_541,US-LA
542,Maine,Maine,USA_542,US-ME
543,Maryland,Maryland,USA_543,US-MD
544,Massachusetts,Massachusetts,USA_544,US-MA
545,Michigan,Michigan,USA_545,US-MI
546,Minnesota,Minnesota,USA_546,US-MN
547,Mississippi,Mississippi,USA_547,US-MS
548,Missouri,Missouri,USA_548,US-MO
549,Montana,Montana,USA_549,US-MT
550,Nebraska,Nebraska,USA_550,US-NE
551,Nevada,Nevada,USA_551,US-NV
552,New Hampshire,New Hampshire,USA_552,US-NH
553,New Jersey,New Jersey,USA_553,US-NJ
554,New Mexico,New Mexico,USA_554,US-NM
555,New York,New York,USA_555,US-NY
556,North Carolina,North Carolina,USA_556,US-NC
557,North Dakota,North Dakota,USA_557,US-ND
558,Ohio,Ohio,USA_558,US-OH
559,Oklahoma,Oklahoma,USA_559,US-OK
560,Oregon,Oregon,USA_560,US-OR
