"rei_set_id","rei_set_name","rei_id","level","rei","rei_name","rei_name_short","parent_id","path_to_top_parent","sort_order","most_detailed","is_estimate","rei_type_id","rei_type","lancet_label","lancet_label_short"
1,"GBD Reporting",169,0,"_all","All risk factors","All risk factors",169,"169",1,0,0,1,"Risk","All risk factors","All risk factors"
1,"GBD Reporting",202,1,"_env","Environmental/occupational risks","Environmental",169,"169,202",2,0,0,1,"Risk","Environmental/occupational risks","Environmental"
1,"GBD Reporting",82,2,"wash","Unsafe water, sanitation, and handwashing","WaSH",202,"169,202,82",3,0,0,1,"Risk","Unsafe water, sanitation, and handwashing","WaSH"
1,"GBD Reporting",83,3,"wash_water","Unsafe water source","Unsafe water",82,"169,202,82,83",4,1,1,1,"Risk","Unsafe water source","Unsafe water"
1,"GBD Reporting",84,3,"wash_sanitation","Unsafe sanitation","Unsafe sanitation",82,"169,202,82,84",5,1,1,1,"Risk","Unsafe sanitation","Unsafe sanitation"
1,"GBD Reporting",238,3,"wash_hygiene","No access to handwashing facility","Handwashing",82,"169,202,82,238",6,1,1,1,"Risk","No access to handwashing facility","Handwashing"
1,"GBD Reporting",85,2,"air","Air pollution","Air pollution",202,"169,202,85",7,0,0,1,"Risk","Air pollution","Air pollution"
1,"GBD Reporting",380,3,"air_pmhap","Particulate matter pollution","Particulate matter",85,"169,202,85,380",7.5,0,1,1,"Risk","Particulate matter pollution","Particulate matter"
1,"GBD Reporting",86,4,"air_pm","Ambient particulate matter pollution","Ambient particulate matter",380,"169,202,85,380,86",8,1,1,1,"Risk","Ambient particulate matter pollution","Ambient particulate matter"
1,"GBD Reporting",87,4,"air_hap","Household air pollution from solid fuels","Household air pollution",380,"169,202,85,380,87",9,1,1,1,"Risk","Household air pollution from solid fuels","Household air pollution"
1,"GBD Reporting",88,3,"air_ozone","Ambient ozone pollution","Ozone",85,"169,202,85,88",10,1,1,1,"Risk","Ambient ozone pollution","Ozone"
1,"GBD Reporting",89,2,"envir","Other environmental risks","Other environmental",202,"169,202,89",11,0,0,1,"Risk","Other environmental risks","Other environmental"
1,"GBD Reporting",90,3,"envir_radon","Residential radon","Radon",89,"169,202,89,90",12,1,1,1,"Risk","Residential radon","Radon"
1,"GBD Reporting",91,3,"envir_lead","Lead exposure","Lead",89,"169,202,89,91",13,1,1,1,"Risk","Lead exposure","Lead"
